ndvi,evi,moisture,days_enrolled,soc_tons_per_ha,district,state,land_use
0.81,0.74,46.8,1720,29.0,Palghar,Maharashtra,Paddy
0.37,0.33,19.1,95,15.0,Hingoli,Maharashtra,Soybean
0.69,0.63,41.5,1035,24.1,Yavatmal,Maharashtra,Cotton
0.52,0.47,32.5,468,19.8,Parbhani,Maharashtra,Wheat
0.74,0.67,43.5,1220,25.8,Chandrapur,Maharashtra,Teak
0.43,0.39,23.1,185,16.4,Nandurbar,Maharashtra,Mixed
0.61,0.55,39.2,770,22.3,Pune,Maharashtra,Maize
0.76,0.69,44.3,1360,26.4,Nagpur,Maharashtra,Orange
0.46,0.42,25.5,240,17.0,Gadchiroli,Maharashtra,Paddy
0.57,0.52,37.2,645,21.4,Gondia,Maharashtra,Paddy
0.70,0.63,42.0,1065,24.2,Bhandara,Maharashtra,Paddy
0.83,0.76,48.1,1890,30.1,Ratnagiri,Maharashtra,Mango
0.49,0.44,28.1,340,18.7,Sangli,Maharashtra,Grape
0.65,0.59,40.6,910,23.2,Satara,Maharashtra,Rice
0.38,0.34,20.8,115,15.4,Akola,Maharashtra,Cotton
0.73,0.66,43.0,1175,25.4,Nashik,Maharashtra,Grape
0.56,0.51,36.2,615,20.9,Dhule,Maharashtra,Cotton
0.78,0.71,44.9,1480,27.4,Thane,Maharashtra,Mixed
0.44,0.40,24.2,215,16.7,Solapur,Maharashtra,Jowar
0.62,0.56,39.5,798,22.6,Ahmednagar,Maharashtra,Onion
0.75,0.68,43.9,1295,26.2,Kolhapur,Maharashtra,Sugarcane
0.41,0.37,22.0,155,16.0,Nanded,Maharashtra,Jowar
0.67,0.61,41.1,950,23.5,Latur,Maharashtra,Tur
0.84,0.77,48.8,1960,30.8,Sindhudurg,Maharashtra,Coconut
0.50,0.45,30.1,395,19.2,Osmanabad,Maharashtra,Soybean
0.64,0.58,40.3,875,23.0,Wardha,Maharashtra,Cotton
0.36,0.32,18.5,80,14.6,Hingoli,Maharashtra,Jowar
0.72,0.65,42.8,1140,25.0,Jalgaon,Maharashtra,Banana
0.53,0.48,32.9,498,20.0,Aurangabad,Maharashtra,Grape
0.80,0.73,46.5,1680,28.7,Palghar,Maharashtra,Paddy
0.47,0.43,25.8,265,17.3,Beed,Maharashtra,Cotton
0.68,0.62,41.3,1005,23.8,Jalna,Maharashtra,Soybean
0.39,0.35,20.6,120,15.6,Buldhana,Maharashtra,Cotton
0.76,0.69,44.1,1395,26.6,Raigad,Maharashtra,Paddy
0.55,0.50,35.8,590,20.7,Yavatmal,Maharashtra,Cotton
0.71,0.64,42.9,1125,24.6,Chandrapur,Maharashtra,Bamboo
0.45,0.41,24.5,225,17.0,Gadchiroli,Maharashtra,Mixed
0.60,0.54,38.5,740,22.0,Gondia,Maharashtra,Paddy
0.77,0.70,44.7,1440,27.2,Bhandara,Maharashtra,Paddy
0.42,0.38,22.4,170,16.3,Nandurbar,Maharashtra,Mixed
0.66,0.60,40.9,930,23.3,Sangli,Maharashtra,Grape
0.82,0.75,47.2,1800,29.2,Nashik,Maharashtra,Grape
0.48,0.44,27.4,310,18.5,Akola,Maharashtra,Cotton
0.59,0.53,37.8,700,22.0,Amravati,Maharashtra,Cotton
0.74,0.67,43.3,1205,25.7,Pune,Maharashtra,Wheat
0.35,0.31,17.8,65,14.3,Washim,Maharashtra,Soybean
0.63,0.57,40.0,815,22.7,Satara,Maharashtra,Rice
0.79,0.72,45.6,1580,28.2,Kolhapur,Maharashtra,Sugarcane
0.51,0.46,31.2,435,19.5,Solapur,Maharashtra,Jowar
0.70,0.63,42.4,1050,24.3,Dhule,Maharashtra,Wheat
0.85,0.78,49.2,2000,31.5,Ratnagiri,Maharashtra,Coconut
0.46,0.42,25.2,250,17.1,Osmanabad,Maharashtra,Tur
0.65,0.59,40.7,920,23.2,Latur,Maharashtra,Cotton
0.37,0.33,19.4,100,15.1,Parbhani,Maharashtra,Sorghum
0.73,0.66,43.1,1185,25.5,Nanded,Maharashtra,Cotton
0.54,0.49,34.0,535,20.4,Yavatmal,Maharashtra,Cotton
0.81,0.74,47.0,1740,29.1,Thane,Maharashtra,Mixed
0.43,0.39,23.3,192,16.5,Jalna,Maharashtra,Soybean
0.62,0.56,39.6,785,22.5,Aurangabad,Maharashtra,Grape
0.31,0.27,14.2,30,12.8,Chandrapur,Maharashtra,Degraded
0.69,0.63,41.7,1025,24.0,Nagpur,Maharashtra,Orange
0.29,0.25,12.5,15,11.9,Amravati,Maharashtra,Degraded
0.87,0.80,49.8,2190,33.2,Sindhudurg,Maharashtra,Dense Forest
0.28,0.25,13.1,20,12.2,Wardha,Maharashtra,Degraded
0.90,0.83,51.2,2555,35.8,Palghar,Maharashtra,Dense Forest
0.26,0.23,11.8,10,11.3,Solapur,Maharashtra,Degraded
0.88,0.81,50.1,2365,34.1,Raigad,Maharashtra,Dense Forest
0.30,0.26,13.8,25,12.5,Buldhana,Maharashtra,Degraded
0.86,0.79,49.4,2080,32.6,Gondia,Maharashtra,Dense Forest
0.27,0.24,12.0,12,11.5,Nandurbar,Maharashtra,Degraded
0.91,0.84,51.8,2740,37.2,Bhandara,Maharashtra,Dense Forest
0.25,0.22,11.2,8,10.8,Hingoli,Maharashtra,Degraded
0.89,0.82,50.6,2460,35.1,Gadchiroli,Maharashtra,Dense Forest
0.32,0.28,15.0,35,13.1,Osmanabad,Maharashtra,Degraded
0.85,0.78,49.0,1980,31.8,Chandrapur,Maharashtra,Bamboo Forest
